Date,Region,Cluster,Country,Segment,Sales Amount,Year,Month,Quarter,Is_Q4,Lag_1_Sales,RollingAvg_3M
2023-02-09,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.611608260759364,2023,2,1,0,5.2383696016130585,4.654815207051658
2023-02-09,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.619308476507121,2023,2,1,0,3.611608260759364,4.489762112959848
2023-02-09,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.0879502692463126,2023,2,1,0,4.619308476507121,4.439622335504266
2023-02-09,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.274628382317027,2023,2,1,0,5.0879502692463126,4.993962376023487
2023-02-10,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.4566124191305003,2023,2,1,0,5.274628382317027,4.606397023564613
2023-02-10,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.228574864143914,2023,2,1,0,3.4566124191305003,4.3199385551971465
2023-02-10,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.859669905606532,2023,2,1,0,4.228574864143914,4.181619062960316
2023-02-10,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.046539513677414,2023,2,1,0,4.859669905606532,4.71159476114262
2023-02-13,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.3959517843024978,2023,2,1,0,5.046539513677414,4.434053734528814
2023-02-13,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.707603073656256,2023,2,1,0,3.3959517843024978,4.3833647905453885
2023-02-13,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.89831507768151,2023,2,1,0,4.707603073656256,4.33395664521342
2023-02-13,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.186339219283852,2023,2,1,0,4.89831507768151,4.930752456873872
2023-02-14,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.928414997244788,2023,2,1,0,5.186339219283852,4.671023098070051
2023-02-14,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.397599619849376,2023,2,1,0,3.928414997244788,4.504117945459338
2023-02-14,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.028086752730686,2023,2,1,0,4.397599619849376,4.45136712327495
2023-02-14,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.2124799673736755,2023,2,1,0,5.028086752730686,4.879388779984579
2023-02-16,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.963993764599604,2023,2,1,0,5.2124799673736755,4.734853494901322
2023-02-16,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.839564119630005,2023,2,1,0,3.963993764599604,4.672012617201094
2023-02-16,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.391305079814507,2023,2,1,0,4.839564119630005,4.731620988014705
2023-02-16,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.5003133917495886,2023,2,1,0,5.391305079814507,5.243727530398033
2023-02-17,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.6030150514105155,2023,2,1,0,5.5003133917495886,4.8315445076582035
2023-02-17,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.426599464502771,2023,2,1,0,3.6030150514105155,4.509975969220958
2023-02-17,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.030850239625941,2023,2,1,0,4.426599464502771,4.353488251846408
2023-02-17,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.271247432128888,2023,2,1,0,5.030850239625941,4.909565712085866
2023-02-19,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.6383249541072833,2023,2,1,0,5.271247432128888,4.646807541954037
2023-02-20,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.5875759304596917,2023,2,1,0,3.6383249541072833,4.165716105565287
2023-02-20,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.6287945560049515,2023,2,1,0,3.5875759304596917,3.9515651468573085
2023-02-20,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.138812407952781,2023,2,1,0,4.6287945560049515,4.451727631472474
2023-02-20,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.222378526306824,2023,2,1,0,5.138812407952781,4.996661830088185
2023-02-21,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.857476183080786,2023,2,1,0,5.222378526306824,4.73955570578013
2023-02-21,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.7365259207079795,2023,2,1,0,3.857476183080786,4.605460210031862
2023-02-21,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.080977012993369,2023,2,1,0,4.7365259207079795,4.558326372260711
2023-02-21,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.296329495637747,2023,2,1,0,5.080977012993369,5.037944143113031
2023-02-22,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.5709601169286933,2023,2,1,0,5.296329495637747,4.649422208519936
2023-02-22,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.375890776638385,2023,2,1,0,3.5709601169286933,4.414393463068274
2023-02-22,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.114990765110357,2023,2,1,0,4.375890776638385,4.353947219559145
2023-02-22,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.254968860336929,2023,2,1,0,5.114990765110357,4.915283467361889
2023-02-23,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.654176922143269,2023,2,1,0,5.254968860336929,4.674712182530184
2023-02-23,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.506165551121598,2023,2,1,0,3.654176922143269,4.471770444533931
2023-02-23,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.023411277812766,2023,2,1,0,4.506165551121598,4.394584583692544
2023-02-23,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.243188452402391,2023,2,1,0,5.023411277812766,4.924255093778918
2023-02-24,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.6370616913633973,2023,2,1,0,5.243188452402391,4.634553807192851
2023-02-24,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.68118043408333,2023,2,1,0,3.6370616913633973,4.520476859283039
2023-02-24,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.8716956265776075,2023,2,1,0,4.68118043408333,4.396645917341445
2023-02-24,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.0583698286751675,2023,2,1,0,4.8716956265776075,4.870415296445368
2023-02-27,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.482697158802536,2023,2,1,0,5.0583698286751675,4.47092087135177
2023-02-27,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.722824652441243,2023,2,1,0,3.482697158802536,4.421297213306315
2023-02-27,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.0873262520536215,2023,2,1,0,4.722824652441243,4.4309493544324665
2023-02-27,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.3478063562371485,2023,2,1,0,5.0873262520536215,5.052652420244004
2023-02-28,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,2.797192862279391,2023,2,1,0,5.3478063562371485,4.41077515685672
2023-02-28,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,3.0429904067727604,2023,2,1,0,2.797192862279391,3.7293298750964325
2023-02-28,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,3.8243110072854622,2023,2,1,0,3.0429904067727604,3.221498092112537
2023-02-28,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.041345390233418,2023,2,1,0,3.8243110072854622,3.6362156014305462
2023-03-01,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.879062726151316,2023,3,1,0,4.041345390233418,3.914906374556731
2023-03-01,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.718742967531681,2023,3,1,0,3.879062726151316,4.213050361305471
